Customer ID,Age,Gender,Tenure (Years),Region,Monthly Data Usage (MB),Call Duration (Minutes),SMS Sent,M-Pesa Transactions,Customer Service Interactions,Subscription Type,Churn Indicator,Last Month Data Usage (MB),Second Last Month Data Usage (MB),Third Last Month Data Usage (MB),Last Month Call Duration (Minutes),Second Last Month Call Duration (Minutes),Third Last Month Call Duration (Minutes),Last Month SMS Sent,Second Last Month SMS Sent,Third Last Month SMS Sent,Promotions,Payment Method,Data Rate per MB,Call Rate per Minute,SMS Rate per Message,Churn History,Engagement Score,Avg Monthly Data Usage (MB),Avg Call Duration (Minutes),Avg SMS Sent,Monthly Spend,Previous Churn,Churn Probability,Tenure (Months),Customer Interaction Ratio,Region Encoding,Gender Encoding,Promotions Received,High Churn Region
CUST0011,28,Female,5,Nakuru,8536,184,380,89,9,Postpaid,0,7033,9546,3167,394,275,701,202,278,277,3,Cash,0.05,0.02,0.01,0,9189,6582.0,456.6666666666667,252.33333333333334,434.28000000000003,0,0.0,60,0.15,3,0,1,0
CUST0012,28,Male,10,Nairobi,7289,871,437,133,2,Postpaid,0,743,7916,9932,299,179,986,494,245,85,4,Cash,0.05,0.02,0.01,1,8730,6197.0,488.0,274.6666666666667,386.24000000000007,1,0.5,120,0.016666666666666666,2,1,1,0
CUST0013,41,Female,2,Mombasa,1285,291,219,69,0,Prepaid,0,7512,5260,5419,525,724,339,232,362,25,4,Cash,0.05,0.02,0.01,1,1864,6063.666666666667,529.3333333333334,206.33333333333334,72.25999999999999,1,0.5,24,0.0,1,0,1,0
CUST0014,70,Female,6,Kisumu,6639,334,377,43,0,Prepaid,0,1365,2397,9109,748,292,864,244,236,217,0,Debit Card,0.05,0.02,0.01,0,7393,4290.333333333333,634.6666666666666,232.33333333333334,342.40000000000003,0,0.0,72,0.0,0,0,0,0
CUST0015,53,Male,5,Nakuru,6844,731,93,199,0,Prepaid,0,5829,6864,8142,284,583,873,208,170,392,0,Credit Card,0.05,0.02,0.01,1,7867,6945.0,580.0,256.6666666666667,357.75000000000006,1,0.5,60,0.0,3,1,0,0
CUST0016,57,Female,5,Nairobi,2916,115,456,151,7,Prepaid,0,1103,8964,9298,329,794,863,247,50,404,2,Mobile Money,0.05,0.02,0.01,0,3638,6455.0,662.0,233.66666666666666,152.66000000000003,0,0.0,60,0.11666666666666667,2,0,1,0
CUST0017,41,Male,1,Nakuru,9488,824,102,85,2,Prepaid,0,6256,4587,9259,49,174,775,294,327,94,5,Mobile Money,0.05,0.02,0.01,1,10499,6700.666666666667,332.6666666666667,238.33333333333334,491.90000000000003,1,0.5,12,0.16666666666666666,3,1,1,0
CUST0018,20,Male,2,Mombasa,4654,48,222,18,10,Prepaid,1,4518,9964,1043,772,122,311,326,358,243,2,Debit Card,0.05,0.02,0.01,1,4942,5175.0,401.6666666666667,309.0,235.88000000000002,1,1.0,24,0.4166666666666667,1,1,1,0
CUST0019,39,Male,8,Kisumu,6119,684,185,100,0,Postpaid,0,5692,4874,1383,967,226,732,382,152,446,2,Mobile Money,0.05,0.02,0.01,0,7088,3983.0,641.6666666666666,326.6666666666667,321.48,0,0.0,96,0.0,0,1,1,0
CUST0020,70,Male,3,Nakuru,2436,81,468,145,6,Postpaid,0,2515,8107,5298,621,901,103,157,79,106,1,Mobile Money,0.05,0.02,0.01,1,3130,5306.666666666667,541.6666666666666,114.0,128.10000000000002,1,0.5,36,0.16666666666666666,3,1,1,0
CUST0021,19,Male,10,Nakuru,4307,833,183,94,9,Postpaid,0,3880,4519,8540,708,443,338,404,418,389,3,Credit Card,0.05,0.02,0.01,0,5417,5646.333333333333,496.3333333333333,403.6666666666667,233.84000000000003,0,0.0,120,0.075,3,1,1,0
CUST0022,41,Female,3,Nakuru,7651,332,494,100,2,Prepaid,0,4270,1315,9915,377,812,197,0,144,247,1,Cash,0.05,0.02,0.01,1,8577,5166.666666666667,462.0,130.33333333333334,394.13,1,0.5,36,0.05555555555555555,3,0,1,0
CUST0023,61,Male,8,Mombasa,9993,556,161,29,7,Postpaid,0,6329,7755,6218,763,427,299,216,273,13,5,Cash,0.05,0.02,0.01,0,10739,6767.333333333333,496.3333333333333,167.33333333333334,512.38,0,0.0,96,0.07291666666666667,1,1,1,0
CUST0024,47,Male,8,Nakuru,3736,334,246,169,3,Prepaid,1,2113,1422,2568,599,82,443,415,154,160,4,Debit Card,0.05,0.02,0.01,0,4485,2034.3333333333333,374.6666666666667,243.0,195.94000000000003,0,0.5,96,0.03125,3,1,1,0
CUST0025,55,Female,2,Mombasa,2852,531,30,32,3,Prepaid,0,2379,5367,7978,999,764,358,248,398,70,0,Cash,0.05,0.02,0.01,0,3445,5241.333333333333,707.0,238.66666666666666,153.52,0,0.0,24,0.125,1,0,0,0
CUST0026,19,Male,8,Mombasa,2432,959,51,11,4,Postpaid,0,5872,1764,8620,824,657,367,391,336,151,5,Cash,0.05,0.02,0.01,0,3453,5418.666666666667,616.0,292.6666666666667,141.29,0,0.0,96,0.041666666666666664,1,1,1,0
CUST0027,38,Female,1,Mombasa,9056,220,344,117,5,Prepaid,0,4608,4224,8320,537,631,168,68,362,456,4,Debit Card,0.05,0.02,0.01,1,9737,5717.333333333333,445.3333333333333,295.3333333333333,460.64,1,0.5,12,0.4166666666666667,1,0,1,0
CUST0028,50,Female,6,Kisumu,5416,634,75,93,6,Postpaid,0,9791,3222,2286,773,64,148,29,324,74,5,Debit Card,0.05,0.02,0.01,0,6218,5099.666666666667,328.3333333333333,142.33333333333334,284.23,0,0.0,72,0.08333333333333333,0,0,1,0
CUST0029,29,Female,8,Kisumu,5998,745,384,154,3,Postpaid,0,9766,5855,6215,143,280,760,114,335,375,4,Cash,0.05,0.02,0.01,0,7281,7278.666666666667,394.3333333333333,274.6666666666667,318.64,0,0.0,96,0.03125,0,0,1,0
CUST0030,39,Male,3,Nakuru,1446,732,438,166,7,Prepaid,0,9478,3050,8769,59,794,767,7,142,214,0,Credit Card,0.05,0.02,0.01,0,2782,7099.0,540.0,121.0,91.32,0,0.0,36,0.19444444444444445,3,1,0,0
CUST0031,61,Male,8,Nakuru,1939,322,277,136,5,Postpaid,0,648,5819,1808,867,390,981,368,297,367,4,Debit Card,0.05,0.02,0.01,0,2674,2758.3333333333335,746.0,344.0,106.16,0,0.0,96,0.052083333333333336,3,1,1,0
CUST0032,42,Male,1,Kisumu,8230,850,39,148,0,Postpaid,0,2254,7186,9339,779,427,41,274,493,50,2,Mobile Money,0.05,0.02,0.01,1,9267,6259.666666666667,415.6666666666667,272.3333333333333,428.89,1,0.5,12,0.0,0,1,1,0
CUST0033,66,Female,9,Nairobi,5357,2,100,75,0,Postpaid,0,7878,2173,9244,74,617,201,491,33,385,5,Debit Card,0.05,0.02,0.01,0,5534,6431.666666666667,297.3333333333333,303.0,268.89000000000004,0,0.0,108,0.0,2,0,1,0
CUST0034,44,Male,9,Kisumu,840,693,110,28,8,Postpaid,1,7181,5087,8973,2,924,969,314,303,142,0,Mobile Money,0.05,0.02,0.01,1,1671,7080.333333333333,631.6666666666666,253.0,56.96,1,1.0,108,0.07407407407407407,0,1,0,0
CUST0035,59,Male,5,Mombasa,882,205,384,160,9,Prepaid,0,4256,5853,9973,574,990,243,438,466,418,4,Debit Card,0.05,0.02,0.01,0,1631,6694.0,602.3333333333334,440.6666666666667,52.040000000000006,0,0.0,60,0.15,1,1,1,0
CUST0036,45,Male,10,Kisumu,8991,831,320,189,5,Postpaid,1,9871,7357,5361,747,811,668,413,391,35,2,Debit Card,0.05,0.02,0.01,0,10331,7529.666666666667,742.0,279.6666666666667,469.37,0,0.5,120,0.041666666666666664,0,1,1,0
CUST0037,33,Female,4,Mombasa,638,39,248,116,9,Postpaid,0,9616,2166,3276,447,106,463,334,238,499,2,Cash,0.05,0.02,0.01,0,1041,5019.333333333333,338.6666666666667,357.0,35.16,0,0.0,48,0.1875,1,0,1,0
CUST0038,32,Female,6,Nakuru,858,58,190,14,7,Postpaid,0,5892,5011,2096,957,547,448,35,137,373,3,Cash,0.05,0.02,0.01,0,1120,4333.0,650.6666666666666,181.66666666666666,45.96,0,0.0,72,0.09722222222222222,3,0,1,0
CUST0039,64,Male,7,Nairobi,5431,950,489,1,6,Prepaid,0,3552,6672,979,740,658,912,310,253,475,2,Cash,0.05,0.02,0.01,0,6871,3734.3333333333335,770.0,346.0,295.44,0,0.0,84,0.07142857142857142,2,1,1,0
CUST0040,68,Male,5,Nakuru,3956,573,181,179,5,Postpaid,0,6192,1884,3812,901,261,797,43,4,166,1,Credit Card,0.05,0.02,0.01,0,4889,3962.6666666666665,653.0,71.0,211.07000000000002,0,0.0,60,0.08333333333333333,3,1,1,0
CUST0041,61,Male,10,Mombasa,2127,643,425,116,3,Prepaid,0,4718,4903,6656,274,920,793,154,371,235,0,Cash,0.05,0.02,0.01,1,3311,5425.666666666667,662.3333333333334,253.33333333333334,123.46000000000001,1,0.5,120,0.025,1,1,0,0
CUST0042,69,Male,9,Mombasa,9995,506,404,171,6,Postpaid,0,5303,4454,8419,529,158,436,76,175,259,0,Cash,0.05,0.02,0.01,1,11076,6058.666666666667,374.3333333333333,170.0,513.91,1,0.5,108,0.05555555555555555,1,1,0,0
CUST0043,20,Female,3,Mombasa,7126,571,334,181,8,Postpaid,0,2877,6805,7244,591,264,892,77,372,191,0,Debit Card,0.05,0.02,0.01,0,8212,5642.0,582.3333333333334,213.33333333333334,371.06,0,0.0,36,0.2222222222222222,1,0,0,0
CUST0044,54,Female,7,Nairobi,5504,883,208,17,10,Postpaid,1,5586,8752,4398,214,467,749,100,409,201,4,Debit Card,0.05,0.02,0.01,0,6612,6245.333333333333,476.6666666666667,236.66666666666666,294.94,0,0.5,84,0.11904761904761904,2,0,1,0
CUST0045,68,Female,10,Kisumu,9826,842,21,2,9,Prepaid,0,3682,7738,2572,682,201,530,437,213,261,5,Credit Card,0.05,0.02,0.01,0,10691,4664.0,471.0,303.6666666666667,508.34999999999997,0,0.0,120,0.075,0,0,1,0
CUST0046,24,Female,10,Nakuru,7152,121,165,134,9,Prepaid,0,3660,7481,9987,484,932,564,431,363,184,4,Mobile Money,0.05,0.02,0.01,1,7572,7042.666666666667,660.0,326.0,361.67,1,0.5,120,0.075,3,0,1,0
CUST0047,38,Male,5,Nakuru,6916,478,98,170,6,Prepaid,0,7076,6526,6124,328,154,596,29,22,157,1,Debit Card,0.05,0.02,0.01,0,7662,6575.333333333333,359.3333333333333,69.33333333333333,356.34000000000003,0,0.0,60,0.1,3,1,1,0
CUST0048,26,Male,7,Kisumu,3670,618,492,165,0,Prepaid,1,9403,7109,1438,254,12,272,38,317,245,5,Debit Card,0.05,0.02,0.01,1,4945,5983.333333333333,179.33333333333334,200.0,200.78,1,1.0,84,0.0,0,1,1,0
CUST0049,56,Male,2,Nakuru,4335,95,207,164,9,Prepaid,0,3086,9164,8676,386,296,429,238,12,109,2,Mobile Money,0.05,0.02,0.01,1,4801,6975.333333333333,370.3333333333333,119.66666666666667,220.72,1,0.5,24,0.375,3,1,1,0
CUST0050,35,Female,4,Nairobi,8517,858,7,185,8,Prepaid,0,3148,1458,1261,125,895,871,12,392,98,4,Credit Card,0.05,0.02,0.01,1,9567,1955.6666666666667,630.3333333333334,167.33333333333334,443.08000000000004,1,0.5,48,0.16666666666666666,2,0,1,0
CUST0051,21,Male,2,Nakuru,2651,413,189,160,3,Postpaid,0,7813,9224,7754,766,833,212,121,240,240,5,Debit Card,0.05,0.02,0.01,1,3413,8263.666666666666,603.6666666666666,200.33333333333334,142.7,1,0.5,24,0.125,3,1,1,0
CUST0052,42,Female,7,Mombasa,9929,234,174,107,2,Prepaid,0,2217,993,2169,583,497,948,143,275,490,2,Cash,0.05,0.02,0.01,1,10444,1793.0,676.0,302.6666666666667,502.87000000000006,1,0.5,84,0.023809523809523808,1,0,1,0
CUST0053,31,Female,2,Kisumu,7405,897,272,186,3,Postpaid,1,5808,7542,7628,549,596,872,171,91,201,5,Credit Card,0.05,0.02,0.01,0,8760,6992.666666666667,672.3333333333334,154.33333333333334,390.91,0,0.5,24,0.125,0,0,1,0
CUST0054,67,Male,1,Nairobi,3334,61,16,94,3,Prepaid,0,7907,581,4362,323,992,103,454,107,121,2,Mobile Money,0.05,0.02,0.01,1,3505,4283.333333333333,472.6666666666667,227.33333333333334,168.08,1,0.5,12,0.25,2,1,1,0
CUST0055,26,Male,9,Kisumu,9690,255,89,121,9,Prepaid,0,1370,7499,3185,203,791,191,367,440,116,5,Mobile Money,0.05,0.02,0.01,1,10155,4018.0,395.0,307.6666666666667,490.49,1,0.5,108,0.08333333333333333,0,1,1,0
CUST0056,43,Male,1,Nairobi,3067,560,140,10,10,Prepaid,1,4074,3470,7134,171,244,940,246,228,95,4,Cash,0.05,0.02,0.01,0,3777,4892.666666666667,451.6666666666667,189.66666666666666,165.95,0,0.5,12,0.8333333333333334,2,1,1,0
CUST0057,70,Female,8,Mombasa,1807,904,144,67,1,Postpaid,0,6327,511,2431,734,299,688,246,151,233,4,Cash,0.05,0.02,0.01,0,2922,3089.6666666666665,573.6666666666666,210.0,109.87,0,0.0,96,0.010416666666666666,1,0,1,0
CUST0058,19,Male,2,Kisumu,9348,347,165,122,0,Prepaid,0,8486,8324,7808,216,361,658,410,107,489,1,Cash,0.05,0.02,0.01,1,9982,8206.0,411.6666666666667,335.3333333333333,475.99,1,0.5,24,0.0,0,1,1,0
CUST0059,37,Female,8,Nakuru,3160,670,336,195,9,Prepaid,0,8962,1261,4439,244,353,379,44,288,66,3,Credit Card,0.05,0.02,0.01,0,4361,4887.333333333333,325.3333333333333,132.66666666666666,174.76000000000002,0,0.0,96,0.09375,3,0,1,0
CUST0060,45,Male,3,Nairobi,4230,123,495,112,0,Postpaid,0,9241,3685,1626,335,827,966,252,403,375,0,Mobile Money,0.05,0.02,0.01,0,4960,4850.666666666667,709.3333333333334,343.3333333333333,218.91,0,0.0,36,0.0,2,1,0,0
CUST0061,64,Female,6,Kisumu,6707,481,77,97,7,Postpaid,0,6269,525,6521,702,520,80,374,443,217,4,Cash,0.05,0.02,0.01,0,7362,4438.333333333333,434.0,344.6666666666667,345.74,0,0.0,72,0.09722222222222222,0,0,1,0
CUST0062,24,Female,3,Nakuru,3662,316,428,92,1,Postpaid,0,6233,2306,6937,297,385,704,290,175,14,4,Cash,0.05,0.02,0.01,1,4498,5158.666666666667,462.0,159.66666666666666,193.70000000000002,1,0.5,36,0.027777777777777776,3,0,1,0
CUST0063,61,Male,7,Kisumu,1640,503,261,21,9,Postpaid,0,3740,7151,7539,831,758,548,206,319,272,2,Mobile Money,0.05,0.02,0.01,1,2425,6143.333333333333,712.3333333333334,265.6666666666667,94.67,1,0.5,84,0.10714285714285714,0,1,1,0
CUST0064,25,Female,10,Kisumu,8958,718,162,193,4,Prepaid,0,5393,6164,5873,181,311,376,411,285,218,3,Debit Card,0.05,0.02,0.01,0,10031,5810.0,289.3333333333333,304.6666666666667,463.88000000000005,0,0.0,120,0.03333333333333333,0,0,1,0
CUST0065,64,Female,9,Kisumu,2208,47,365,171,3,Postpaid,0,9976,5654,1703,333,413,837,482,363,273,4,Credit Card,0.05,0.02,0.01,0,2791,5777.666666666667,527.6666666666666,372.6666666666667,114.99000000000001,0,0.0,108,0.027777777777777776,0,0,1,0
CUST0066,52,Male,2,Nairobi,4130,408,13,126,7,Prepaid,1,1386,6324,4635,510,277,153,6,328,370,5,Debit Card,0.05,0.02,0.01,1,4677,4115.0,313.3333333333333,234.66666666666666,214.79,1,1.0,24,0.2916666666666667,2,1,1,0
CUST0067,31,Female,5,Nakuru,3711,931,238,133,1,Prepaid,0,6354,4159,9211,382,749,641,445,364,146,3,Cash,0.05,0.02,0.01,1,5013,6574.666666666667,590.6666666666666,318.3333333333333,206.55,1,0.5,60,0.016666666666666666,3,0,1,0
CUST0068,34,Male,6,Mombasa,7038,135,71,169,9,Postpaid,0,5818,2025,8404,716,714,570,241,240,331,0,Credit Card,0.05,0.02,0.01,0,7413,5415.666666666667,666.6666666666666,270.6666666666667,355.31,0,0.0,72,0.125,1,1,0,0
CUST0069,53,Female,4,Nairobi,975,200,444,24,8,Prepaid,0,2758,1260,2783,872,758,735,109,144,343,5,Debit Card,0.05,0.02,0.01,1,1643,2267.0,788.3333333333334,198.66666666666666,57.19,1,0.5,48,0.16666666666666666,2,0,1,0
CUST0070,67,Male,4,Nairobi,8184,249,142,184,6,Postpaid,0,4882,1094,5058,198,746,760,113,355,452,2,Mobile Money,0.05,0.02,0.01,1,8759,3678.0,568.0,306.6666666666667,415.6000000000001,1,0.5,48,0.125,2,1,1,0
CUST0071,57,Male,4,Nairobi,9668,313,309,84,6,Prepaid,0,2285,7692,5847,331,592,239,306,13,151,1,Cash,0.05,0.02,0.01,0,10374,5274.666666666667,387.3333333333333,156.66666666666666,492.75,0,0.0,48,0.125,2,1,1,0
CUST0072,21,Female,2,Mombasa,1707,868,282,54,0,Postpaid,0,8227,1555,8367,164,355,373,301,274,346,5,Credit Card,0.05,0.02,0.01,0,2911,6049.666666666667,297.3333333333333,307.0,105.53,0,0.0,24,0.0,1,0,1,0
CUST0073,19,Female,4,Nakuru,2460,367,268,143,1,Postpaid,0,795,3583,6444,241,524,900,275,70,303,0,Credit Card,0.05,0.02,0.01,1,3238,3607.3333333333335,555.0,216.0,133.02,1,0.5,48,0.020833333333333332,3,0,0,0
CUST0074,23,Female,1,Nakuru,1057,428,240,94,3,Postpaid,0,3097,4175,9174,899,838,804,95,314,413,5,Credit Card,0.05,0.02,0.01,1,1819,5482.0,847.0,274.0,63.81,1,0.5,12,0.25,3,0,1,0
CUST0075,59,Female,6,Nakuru,1382,829,414,141,3,Postpaid,0,1180,6457,2977,641,15,798,293,194,14,3,Credit Card,0.05,0.02,0.01,1,2766,3538.0,484.6666666666667,167.0,89.82000000000001,1,0.5,72,0.041666666666666664,3,0,1,0
CUST0076,21,Female,1,Kisumu,5261,806,244,166,10,Postpaid,0,5390,5755,3593,226,992,203,188,352,430,3,Cash,0.05,0.02,0.01,0,6477,4912.666666666667,473.6666666666667,323.3333333333333,281.61,0,0.0,12,0.8333333333333334,0,0,1,0
CUST0077,46,Male,10,Kisumu,6367,479,162,155,2,Postpaid,0,4798,9911,9034,633,44,610,359,299,378,0,Cash,0.05,0.02,0.01,0,7163,7914.333333333333,429.0,345.3333333333333,329.55,0,0.0,120,0.016666666666666666,0,1,0,0
CUST0078,35,Female,6,Kisumu,7463,313,59,178,6,Prepaid,1,824,4728,7707,555,320,349,287,415,485,3,Mobile Money,0.05,0.02,0.01,0,8013,4419.666666666667,408.0,395.6666666666667,380.0,0,0.5,72,0.08333333333333333,0,0,1,0
CUST0079,43,Male,1,Mombasa,7666,499,5,118,7,Prepaid,0,8452,4681,9894,450,650,687,153,366,382,5,Mobile Money,0.05,0.02,0.01,0,8288,7675.666666666667,595.6666666666666,300.3333333333333,393.33000000000004,0,0.0,12,0.5833333333333334,1,1,1,0
CUST0080,61,Male,6,Kisumu,8429,720,196,176,1,Prepaid,0,1486,2330,6727,195,325,773,57,10,427,1,Mobile Money,0.05,0.02,0.01,1,9521,3514.3333333333335,431.0,164.66666666666666,437.81,1,0.5,72,0.013888888888888888,0,1,1,0
CUST0081,51,Female,10,Mombasa,5847,354,469,8,3,Postpaid,0,3618,3895,4035,869,147,782,422,105,353,5,Debit Card,0.05,0.02,0.01,0,6678,3849.3333333333335,599.3333333333334,293.3333333333333,304.12,0,0.0,120,0.025,1,0,1,0
CUST0082,27,Male,8,Nakuru,7769,484,57,185,2,Prepaid,1,1260,1703,7504,203,354,142,403,257,410,1,Mobile Money,0.05,0.02,0.01,0,8495,3489.0,233.0,356.6666666666667,398.70000000000005,0,0.5,96,0.020833333333333332,3,1,1,0
CUST0083,53,Male,2,Kisumu,8625,210,304,172,1,Postpaid,0,8258,3310,3413,978,235,188,337,473,83,3,Cash,0.05,0.02,0.01,1,9311,4993.666666666667,467.0,297.6666666666667,438.49,1,0.5,24,0.041666666666666664,0,1,1,0
CUST0084,31,Male,2,Kisumu,2954,703,406,149,5,Prepaid,0,9728,3592,9881,457,702,271,49,380,191,5,Debit Card,0.05,0.02,0.01,0,4212,7733.666666666667,476.6666666666667,206.66666666666666,165.82000000000002,0,0.0,24,0.20833333333333334,0,1,1,0
CUST0085,48,Male,4,Nairobi,4994,43,216,159,3,Prepaid,0,1406,3544,2840,829,612,531,206,195,40,3,Cash,0.05,0.02,0.01,1,5412,2596.6666666666665,657.3333333333334,147.0,252.72000000000003,1,0.5,48,0.0625,2,1,1,0
CUST0086,65,Female,3,Mombasa,2446,540,417,196,5,Postpaid,1,5999,6571,5789,256,104,844,51,144,351,1,Debit Card,0.05,0.02,0.01,0,3599,6119.666666666667,401.3333333333333,182.0,137.27,0,0.5,36,0.1388888888888889,1,0,1,0
CUST0087,32,Male,4,Nakuru,3308,570,25,196,1,Prepaid,0,864,7772,1097,528,473,299,341,464,323,3,Mobile Money,0.05,0.02,0.01,1,4099,3244.3333333333335,433.3333333333333,376.0,177.05,1,0.5,48,0.020833333333333332,3,1,1,0
CUST0088,25,Female,7,Nairobi,7142,582,302,41,3,Prepaid,0,8269,5173,9336,271,761,425,370,219,260,4,Mobile Money,0.05,0.02,0.01,1,8067,7592.666666666667,485.6666666666667,283.0,371.76,1,0.5,84,0.03571428571428571,2,0,1,0
CUST0089,31,Female,1,Nairobi,4325,91,4,52,10,Prepaid,1,3913,4014,7645,8,395,45,149,349,308,2,Mobile Money,0.05,0.02,0.01,1,4472,5190.666666666667,149.33333333333334,268.6666666666667,218.10999999999999,1,1.0,12,0.8333333333333334,2,0,1,0
CUST0090,40,Male,6,Nakuru,4036,264,473,186,5,Postpaid,1,8527,6692,3402,760,445,94,52,423,377,5,Debit Card,0.05,0.02,0.01,0,4959,6207.0,433.0,284.0,211.81,0,0.5,72,0.06944444444444445,3,1,1,0
CUST0091,57,Female,3,Nairobi,6568,894,19,73,4,Prepaid,1,8439,644,7145,948,605,929,212,470,135,4,Cash,0.05,0.02,0.01,1,7554,5409.333333333333,827.3333333333334,272.3333333333333,346.47,1,1.0,36,0.1111111111111111,2,0,1,0
CUST0092,38,Female,10,Mombasa,4302,219,389,38,2,Postpaid,0,9761,8007,9455,200,219,63,65,173,277,3,Credit Card,0.05,0.02,0.01,0,4948,9074.333333333334,160.66666666666666,171.66666666666666,223.37,0,0.0,120,0.016666666666666666,1,0,1,0
CUST0093,33,Female,7,Mombasa,5199,901,197,121,7,Prepaid,0,3581,5357,8194,58,986,412,231,215,105,3,Cash,0.05,0.02,0.01,0,6418,5710.666666666667,485.3333333333333,183.66666666666666,279.94,0,0.0,84,0.08333333333333333,1,0,1,0
CUST0094,62,Male,10,Kisumu,2470,924,58,14,6,Prepaid,0,5948,1877,5330,886,809,642,372,92,6,2,Mobile Money,0.05,0.02,0.01,0,3466,4385.0,779.0,156.66666666666666,142.56,0,0.0,120,0.05,0,1,1,0
CUST0095,35,Female,2,Nairobi,6306,441,447,198,2,Prepaid,0,3758,3646,8046,392,850,8,298,259,405,3,Debit Card,0.05,0.02,0.01,0,7392,5150.0,416.6666666666667,320.6666666666667,328.59000000000003,0,0.0,24,0.08333333333333333,2,0,1,0
CUST0096,64,Female,2,Kisumu,6642,400,241,156,5,Prepaid,0,2607,5524,7868,651,964,458,337,421,301,2,Debit Card,0.05,0.02,0.01,0,7439,5333.0,691.0,353.0,342.51000000000005,0,0.0,24,0.20833333333333334,0,0,1,0
CUST0097,70,Female,4,Nairobi,3319,399,145,122,3,Postpaid,0,8428,1293,2660,118,441,714,150,62,29,5,Mobile Money,0.05,0.02,0.01,0,3985,4127.0,424.3333333333333,80.33333333333333,175.38,0,0.0,48,0.0625,2,0,1,0
CUST0098,41,Male,1,Mombasa,9594,726,387,110,10,Prepaid,0,3433,6256,6378,552,644,408,204,28,125,1,Debit Card,0.05,0.02,0.01,1,10817,5355.666666666667,534.6666666666666,119.0,498.09000000000003,1,0.5,12,0.8333333333333334,1,1,1,0
CUST0099,43,Female,3,Mombasa,864,990,272,130,4,Postpaid,0,3329,4914,8163,398,872,469,319,274,356,2,Mobile Money,0.05,0.02,0.01,1,2256,5468.666666666667,579.6666666666666,316.3333333333333,65.72,1,0.5,36,0.1111111111111111,1,0,1,0
